Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,167.500000,167.500000,167.500000,167.500000,149.053650,0
2020-01-02,167.399994,168.699997,166.699997,167.399994,148.964661,38724
2020-01-03,167.000000,168.199997,163.300003,166.199997,147.896820,51798
2020-01-06,166.199997,166.199997,166.199997,166.199997,147.896820,0
2020-01-07,166.199997,168.000000,166.000000,166.899994,148.519730,13191
2020-01-08,166.800003,166.800003,165.000000,166.600006,148.252792,12649
2020-01-09,168.000000,170.000000,166.600006,170.000000,151.278351,22803
2020-01-10,170.800003,170.800003,168.000000,170.300003,151.545303,69295
2020-01-13,170.899994,175.500000,170.000000,175.000000,155.727692,57808
2020-01-14,175.000000,177.899994,171.500000,171.500000,152.613159,151787
2020-01-15,170.800003,173.899994,167.500000,171.800003,152.880112,32151
2020-01-16,172.000000,172.000000,167.600006,168.500000,149.943527,37210
2020-01-17,167.800003,170.000000,167.199997,167.600006,149.142654,63969
2020-01-20,167.500000,169.500000,166.500000,166.500000,148.163788,55430
2020-01-21,166.300003,168.899994,164.100006,166.699997,148.341751,18449
2020-01-22,168.000000,168.000000,160.100006,163.500000,145.494171,51895
2020-01-23,161.199997,162.600006,156.399994,156.500000,139.265076,86356
2020-01-24,156.500000,162.500000,154.000000,160.000000,142.379608,86804
2020-01-27,161.100006,163.699997,158.000000,160.600006,142.913544,15687
2020-01-28,162.000000,164.399994,160.000000,164.399994,146.295059,53540
2020-01-29,165.000000,168.399994,163.699997,166.000000,147.718842,7904
2020-01-30,166.699997,166.699997,162.399994,165.300003,147.095947,6474
2020-01-31,165.800003,165.800003,162.100006,163.500000,145.494171,14416
2020-02-03,163.000000,163.000000,160.500000,162.199997,144.337341,15843
2020-02-04,160.000000,166.000000,160.000000,161.600006,143.803421,19483
2020-02-05,161.199997,166.800003,161.000000,164.000000,145.939117,20900
2020-02-06,165.000000,167.300003,163.699997,167.300003,148.875687,26834
2020-02-07,167.300003,170.899994,167.000000,169.800003,151.100388,27866
2020-02-10,171.399994,172.199997,166.000000,167.000000,148.608734,11947
2020-02-11,167.000000,174.800003,166.000000,173.000000,153.947968,29701
2020-02-12,173.000000,177.000000,172.800003,173.500000,154.392883,16835
2020-02-13,170.899994,170.899994,151.100006,155.100006,138.019257,348415
2020-02-14,157.100006,160.000000,152.100006,156.899994,139.621017,85554
2020-02-17,158.399994,161.000000,157.899994,160.800003,143.091522,14752
2020-02-18,160.800003,161.600006,159.000000,160.199997,142.557571,22415
2020-02-19,161.000000,164.500000,159.500000,163.399994,145.405197,11529
2020-02-20,163.000000,169.800003,162.500000,167.000000,148.608734,18754
2020-02-21,167.000000,168.800003,163.800003,164.899994,146.739990,15007
2020-02-24,163.500000,163.500000,155.500000,158.699997,141.222778,25973
2020-02-25,157.000000,159.300003,153.699997,154.699997,137.663284,22494
2020-02-26,152.699997,158.399994,150.500000,155.000000,137.930252,19318
2020-02-27,154.199997,154.699997,143.199997,149.800003,133.302917,79027
2020-02-28,145.300003,146.300003,138.000000,138.000000,122.802422,101228
